PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Avocados,3.23,7.4,"=ROUND(B12466*C12466,2)"
Grapes,2.63,36.2,"=ROUND(B12467*C12467,2)"
Daikon,1.4,26.3,"=ROUND(B12468*C12468,2)"
Orange,1.09,28.1,"=ROUND(B12469*C12469,2)"
Tomatoes,3.16,30.9,"=ROUND(B12470*C12470,2)"
Carrots,1.26,20.6,"=ROUND(B12471*C12471,2)"
Potatoes,0.86,36.2,"=ROUND(B12472*C12472,2)"
Cucumber,1.07,10.9,"=ROUND(B12473*C12473,2)"
Corn,1.07,27.2,"=ROUND(B12474*C12474,2)"
Apples,1.88,19.7,"=ROUND(B12475*C12475,2)"
Fava beans,2.69,10,"=ROUND(B12476*C12476,2)"
Yellow peppers,2.87,6.9,"=ROUND(B12477*C12477,2)"
Green peppers,1.89,19.7,"=ROUND(B12478*C12478,2)"
Green cabbage,0.8,36.5,"=ROUND(B12479*C12479,2)"
Coconuts,1.18,31,"=ROUND(B12480*C12480,2)"
Orange,1.09,27.8,"=ROUND(B12481*C12481,2)"
Spinach,4.12,36.3,"=ROUND(B12482*C12482,2)"
Lemon,1.27,20.7,"=ROUND(B12483*C12483,2)"
Coconuts,1.18,33,"=ROUND(B12484*C12484,2)"
Watermelon,0.66,19.5,"=ROUND(B12485*C12485,2)"
Bok choy,1.42,5.100000000000001,"=ROUND(B12486*C12486,2)"
Daikon,1.4,8.9,"=ROUND(B12487*C12487,2)"
Daikon,1.4,26.2,"=ROUND(B12488*C12488,2)"
Kale,5.02,28.1,"=ROUND(B12489*C12489,2)"
Grapes,2.63,14.2,"=ROUND(B12490*C12490,2)"
Bok choy,1.42,32.1,"=ROUND(B12491*C12491,2)"
Ginger,5.13,8.8,"=ROUND(B12492*C12492,2)"
Tomatoes,3.16,17.2,"=ROUND(B12493*C12493,2)"
Carrots,1.26,15.6,"=ROUND(B12494*C12494,2)"
Fava beans,2.69,9.5,"=ROUND(B12495*C12495,2)"
Eggplant,2.32,10.8,"=ROUND(B12496*C12496,2)"
Strawberries,4.4,24.6,"=ROUND(B12497*C12497,2)"
Green cabbage,0.8,3.4,"=ROUND(B12498*C12498,2)"
Fava beans,2.69,1.6,"=ROUND(B12499*C12499,2)"
Avocados,3.23,34,"=ROUND(B12500*C12500,2)"
Coconuts,1.18,15.9,"=ROUND(B12501*C12501,2)"
Avocados,3.23,13.4,"=ROUND(B12502*C12502,2)"
Carrots,1.26,26.8,"=ROUND(B12503*C12503,2)"
Red onion,0.78,33.2,"=ROUND(B12504*C12504,2)"
Apples,1.88,3.2,"=ROUND(B12505*C12505,2)"
Lime,1.06,1.3,"=ROUND(B12506*C12506,2)"
Parsnips,2.27,33.7,"=ROUND(B12507*C12507,2)"
Yellow peppers,2.87,36.8,"=ROUND(B12508*C12508,2)"
Green peppers,1.89,22.8,"=ROUND(B12509*C12509,2)"
Beets,1.51,26.6,"=ROUND(B12510*C12510,2)"
Potatoes,0.86,10,"=ROUND(B12511*C12511,2)"
Ginger,5.13,38.1,"=ROUND(B12512*C12512,2)"
Apricots,3.71,32.1,"=ROUND(B12513*C12513,2)"
Strawberries,4.4,10.3,"=ROUND(B12514*C12514,2)"
Bananas,0.86,31.5,"=ROUND(B12515*C12515,2)"
Avocados,3.23,2.3,"=ROUND(B12516*C12516,2)"
Grapefruit,0.76,11.5,"=ROUND(B12517*C12517,2)"
Ginger,5.13,7.7,"=ROUND(B12518*C12518,2)"
Corn,1.07,6.300000000000001,"=ROUND(B12519*C12519,2)"
Grapefruit,0.76,27.4,"=ROUND(B12520*C12520,2)"
Apricots,3.71,34.2,"=ROUND(B12521*C12521,2)"
Beets,1.51,3.3,"=ROUND(B12522*C12522,2)"
Coconuts,1.18,36,"=ROUND(B12523*C12523,2)"
Green beans,2.52,18.9,"=ROUND(B12524*C12524,2)"
Papaya,1.34,8.200000000000001,"=ROUND(B12525*C12525,2)"
Bananas,0.86,10.5,"=ROUND(B12526*C12526,2)"
Watermelon,0.66,35.2,"=ROUND(B12527*C12527,2)"
Potatoes,0.86,24.1,"=ROUND(B12528*C12528,2)"
Beets,1.51,3.9,"=ROUND(B12529*C12529,2)"
Spinach,4.12,0.7000000000000001,"=ROUND(B12530*C12530,2)"
Cucumber,1.07,8.9,"=ROUND(B12531*C12531,2)"
Garlic,3.07,29.6,"=ROUND(B12532*C12532,2)"
Lettuce,1.88,26.1,"=ROUND(B12533*C12533,2)"
Fava beans,2.69,16,"=ROUND(B12534*C12534,2)"
Corn,1.07,9,"=ROUND(B12535*C12535,2)"
Green beans,2.52,26,"=ROUND(B12536*C12536,2)"
Grapes,2.63,31.5,"=ROUND(B12537*C12537,2)"
Green beans,2.52,35.3,"=ROUND(B12538*C12538,2)"
Brussels sprouts,1.65,29.2,"=ROUND(B12539*C12539,2)"
Asparagus,2.49,23.8,"=ROUND(B12540*C12540,2)"
Spinach,4.12,24.5,"=ROUND(B12541*C12541,2)"
Bananas,0.86,12.9,"=ROUND(B12542*C12542,2)"
Ginger,5.13,26.8,"=ROUND(B12543*C12543,2)"
Kale,5.02,9,"=ROUND(B12544*C12544,2)"
Yellow peppers,2.87,36.4,"=ROUND(B12545*C12545,2)"
Apples,1.88,27.7,"=ROUND(B12546*C12546,2)"
Cherries,9.5,21.1,"=ROUND(B12547*C12547,2)"
Red onion,0.78,35.7,"=ROUND(B12548*C12548,2)"
Cherries,9.5,1.9,"=ROUND(B12549*C12549,2)"
Asparagus,2.49,24.1,"=ROUND(B12550*C12550,2)"
Apples,1.88,1.4,"=ROUND(B12551*C12551,2)"
Ginger,5.13,10.7,"=ROUND(B12552*C12552,2)"
Garlic,3.07,34.6,"=ROUND(B12553*C12553,2)"
Ginger,5.13,25.5,"=ROUND(B12554*C12554,2)"
Brussels sprouts,1.65,26.9,"=ROUND(B12555*C12555,2)"
Garlic,3.07,30.2,"=ROUND(B12556*C12556,2)"
Lime,1.06,14.9,"=ROUND(B12557*C12557,2)"
Grapefruit,0.76,3.6,"=ROUND(B12558*C12558,2)"
Watermelon,0.66,18.7,"=ROUND(B12559*C12559,2)"
Tomatoes,3.16,29.2,"=ROUND(B12560*C12560,2)"
Grapefruit,0.76,5.5,"=ROUND(B12561*C12561,2)"
Red onion,0.78,32.1,"=ROUND(B12562*C12562,2)"
Butternut squash,1.28,18.8,"=ROUND(B12563*C12563,2)"
Beets,1.51,17.2,"=ROUND(B12564*C12564,2)"
Red onion,0.78,4.3,"=ROUND(B12565*C12565,2)"
Eggplant,2.32,37.9,"=ROUND(B12566*C12566,2)"
Lemon,1.27,26.1,"=ROUND(B12567*C12567,2)"
Orange,1.09,24.7,"=ROUND(B12568*C12568,2)"
Watermelon,0.66,1.5,"=ROUND(B12569*C12569,2)"
Garlic,3.07,15.5,"=ROUND(B12570*C12570,2)"
Bok choy,1.42,23.2,"=ROUND(B12571*C12571,2)"
Okra,2.26,36.6,"=ROUND(B12572*C12572,2)"
Asparagus,2.49,34.1,"=ROUND(B12573*C12573,2)"
Yellow peppers,2.87,20.9,"=ROUND(B12574*C12574,2)"
Green cabbage,0.8,26.3,"=ROUND(B12575*C12575,2)"
Bok choy,1.42,20.5,"=ROUND(B12576*C12576,2)"
Apples,1.88,36.9,"=ROUND(B12577*C12577,2)"
Green peppers,1.89,29.5,"=ROUND(B12578*C12578,2)"
Beets,1.51,23.2,"=ROUND(B12579*C12579,2)"
Brussels sprouts,1.65,18.9,"=ROUND(B12580*C12580,2)"
Bok choy,1.42,3,"=ROUND(B12581*C12581,2)"
Green beans,2.52,34.8,"=ROUND(B12582*C12582,2)"
Coconuts,1.18,27.8,"=ROUND(B12583*C12583,2)"
Lime,1.06,3.8,"=ROUND(B12584*C12584,2)"
Green cabbage,0.8,10.7,"=ROUND(B12585*C12585,2)"
Grapefruit,0.76,21.4,"=ROUND(B12586*C12586,2)"
Bok choy,1.42,15.9,"=ROUND(B12587*C12587,2)"
Papaya,1.34,21.9,"=ROUND(B12588*C12588,2)"
Green cabbage,0.8,3.6,"=ROUND(B12589*C12589,2)"
Papaya,1.34,21.3,"=ROUND(B12590*C12590,2)"
Cherries,9.5,3.9,"=ROUND(B12591*C12591,2)"
Yellow peppers,2.87,16,"=ROUND(B12592*C12592,2)"
Eggplant,2.32,18,"=ROUND(B12593*C12593,2)"
Coconuts,1.18,31.6,"=ROUND(B12594*C12594,2)"
Parsnips,2.27,34,"=ROUND(B12595*C12595,2)"
Grapes,2.63,19.6,"=ROUND(B12596*C12596,2)"
Ginger,5.13,17.2,"=ROUND(B12597*C12597,2)"
Coconuts,1.18,18.9,"=ROUND(B12598*C12598,2)"
Bok choy,1.42,32.6,"=ROUND(B12599*C12599,2)"
Carrots,1.26,18.6,"=ROUND(B12600*C12600,2)"
Green peppers,1.89,15.6,"=ROUND(B12601*C12601,2)"
Watermelon,0.66,32.7,"=ROUND(B12602*C12602,2)"
Garlic,3.07,4.4,"=ROUND(B12603*C12603,2)"
Bok choy,1.42,4.5,"=ROUND(B12604*C12604,2)"
Orange,1.09,17.8,"=ROUND(B12605*C12605,2)"
Green peppers,1.89,39.2,"=ROUND(B12606*C12606,2)"
Carrots,1.26,10,"=ROUND(B12607*C12607,2)"
Garlic,3.07,32.7,"=ROUND(B12608*C12608,2)"
Grapefruit,0.76,2.9,"=ROUND(B12609*C12609,2)"
Spinach,4.12,24.1,"=ROUND(B12610*C12610,2)"
Papaya,1.34,5.300000000000001,"=ROUND(B12611*C12611,2)"
Strawberries,4.4,36.3,"=ROUND(B12612*C12612,2)"
Corn,1.07,23.2,"=ROUND(B12613*C12613,2)"
Grapefruit,0.76,36,"=ROUND(B12614*C12614,2)"
Lettuce,1.88,21.8,"=ROUND(B12615*C12615,2)"
Green beans,2.52,28.5,"=ROUND(B12616*C12616,2)"
Brussels sprouts,1.65,24.9,"=ROUND(B12617*C12617,2)"
Green cabbage,0.8,12.3,"=ROUND(B12618*C12618,2)"
Orange,1.09,23.9,"=ROUND(B12619*C12619,2)"
Parsnips,2.27,17.4,"=ROUND(B12620*C12620,2)"
Avocados,3.23,14.4,"=ROUND(B12621*C12621,2)"
Fava beans,2.69,5.600000000000001,"=ROUND(B12622*C12622,2)"
Papaya,1.34,2,"=ROUND(B12623*C12623,2)"
Coconuts,1.18,15.8,"=ROUND(B12624*C12624,2)"
Bananas,0.86,30.3,"=ROUND(B12625*C12625,2)"
Butternut squash,1.28,5,"=ROUND(B12626*C12626,2)"
Lemon,1.27,34.7,"=ROUND(B12627*C12627,2)"
Okra,2.26,39.7,"=ROUND(B12628*C12628,2)"
Cherries,9.5,31.7,"=ROUND(B12629*C12629,2)"
Apricots,3.71,7.9,"=ROUND(B12630*C12630,2)"
Asparagus,2.49,27.9,"=ROUND(B12631*C12631,2)"
Beets,1.51,12.3,"=ROUND(B12632*C12632,2)"
Green beans,2.52,18.4,"=ROUND(B12633*C12633,2)"
Papaya,1.34,6.800000000000001,"=ROUND(B12634*C12634,2)"
Watermelon,0.66,18.1,"=ROUND(B12635*C12635,2)"
Fava beans,2.69,32.3,"=ROUND(B12636*C12636,2)"
Red onion,0.78,32.2,"=ROUND(B12637*C12637,2)"
Coconuts,1.18,16.3,"=ROUND(B12638*C12638,2)"
Grapefruit,0.76,20.8,"=ROUND(B12639*C12639,2)"
Apples,1.88,17,"=ROUND(B12640*C12640,2)"
Cucumber,1.07,14.7,"=ROUND(B12641*C12641,2)"
Parsnips,2.27,29.3,"=ROUND(B12642*C12642,2)"
Orange,1.09,10.3,"=ROUND(B12643*C12643,2)"
Beets,1.51,34.5,"=ROUND(B12644*C12644,2)"
Papaya,1.34,35.1,"=ROUND(B12645*C12645,2)"
Tomatoes,3.16,27.6,"=ROUND(B12646*C12646,2)"
Strawberries,4.4,33.2,"=ROUND(B12647*C12647,2)"
Cherries,9.5,26.3,"=ROUND(B12648*C12648,2)"
Celery,1.19,3.9,"=ROUND(B12649*C12649,2)"
Grapefruit,0.76,3,"=ROUND(B12650*C12650,2)"
Eggplant,2.32,35.9,"=ROUND(B12651*C12651,2)"
Tomatoes,3.16,21,"=ROUND(B12652*C12652,2)"
Orange,1.09,17.2,"=ROUND(B12653*C12653,2)"
Beets,1.51,14.6,"=ROUND(B12654*C12654,2)"
Corn,1.07,26.3,"=ROUND(B12655*C12655,2)"
Avocados,3.23,39.5,"=ROUND(B12656*C12656,2)"
Kale,5.02,29.7,"=ROUND(B12657*C12657,2)"
Papaya,1.34,38.5,"=ROUND(B12658*C12658,2)"
Apricots,3.71,22.4,"=ROUND(B12659*C12659,2)"
Brussels sprouts,1.65,7.7,"=ROUND(B12660*C12660,2)"
Carrots,1.26,35.3,"=ROUND(B12661*C12661,2)"
Brussels sprouts,1.65,37.3,"=ROUND(B12662*C12662,2)"
Beets,1.51,19,"=ROUND(B12663*C12663,2)"
Spinach,4.12,19.4,"=ROUND(B12664*C12664,2)"
Lime,1.06,10.2,"=ROUND(B12665*C12665,2)"
Green peppers,1.89,34.9,"=ROUND(B12666*C12666,2)"
Apples,1.88,24.2,"=ROUND(B12667*C12667,2)"
Daikon,1.4,35.4,"=ROUND(B12668*C12668,2)"
Fava beans,2.69,28.6,"=ROUND(B12669*C12669,2)"
Corn,1.07,19.8,"=ROUND(B12670*C12670,2)"
Okra,2.26,16.3,"=ROUND(B12671*C12671,2)"
Parsnips,2.27,10.6,"=ROUND(B12672*C12672,2)"
Papaya,1.34,36.9,"=ROUND(B12673*C12673,2)"
Bok choy,1.42,29.1,"=ROUND(B12674*C12674,2)"
Kale,5.02,28,"=ROUND(B12675*C12675,2)"
Grapes,2.63,15.2,"=ROUND(B12676*C12676,2)"
Butternut squash,1.28,5,"=ROUND(B12677*C12677,2)"
Apples,1.88,17.4,"=ROUND(B12678*C12678,2)"
Bok choy,1.42,18.8,"=ROUND(B12679*C12679,2)"
Okra,2.26,10.9,"=ROUND(B12680*C12680,2)"
Bananas,0.86,39.2,"=ROUND(B12681*C12681,2)"
Avocados,3.23,35.5,"=ROUND(B12682*C12682,2)"
Green beans,2.52,7,"=ROUND(B12683*C12683,2)"
Grapes,2.63,1.1,"=ROUND(B12684*C12684,2)"
Bok choy,1.42,15.8,"=ROUND(B12685*C12685,2)"
Okra,2.26,13.9,"=ROUND(B12686*C12686,2)"
Okra,2.26,14,"=ROUND(B12687*C12687,2)"
Apples,1.88,8,"=ROUND(B12688*C12688,2)"
Apricots,3.71,14.5,"=ROUND(B12689*C12689,2)"
Coconuts,1.18,4.3,"=ROUND(B12690*C12690,2)"
Strawberries,4.4,34.3,"=ROUND(B12691*C12691,2)"
Grapefruit,0.76,20.9,"=ROUND(B12692*C12692,2)"
Green cabbage,0.8,9.200000000000001,"=ROUND(B12693*C12693,2)"
Bok choy,1.42,29.8,"=ROUND(B12694*C12694,2)"
Tomatoes,3.16,21,"=ROUND(B12695*C12695,2)"
Carrots,1.26,29.1,"=ROUND(B12696*C12696,2)"
Carrots,1.26,35.6,"=ROUND(B12697*C12697,2)"
Potatoes,0.86,3.5,"=ROUND(B12698*C12698,2)"
Cucumber,1.07,24.9,"=ROUND(B12699*C12699,2)"
Garlic,3.07,30.4,"=ROUND(B12700*C12700,2)"
Coconuts,1.18,23.4,"=ROUND(B12701*C12701,2)"
Grapefruit,0.76,37.3,"=ROUND(B12702*C12702,2)"
Bananas,0.86,26.7,"=ROUND(B12703*C12703,2)"
Lemon,1.27,15.5,"=ROUND(B12704*C12704,2)"
Garlic,3.07,27.5,"=ROUND(B12705*C12705,2)"
Spinach,4.12,29.5,"=ROUND(B12706*C12706,2)"
Ginger,5.13,28.7,"=ROUND(B12707*C12707,2)"
Strawberries,4.4,22.9,"=ROUND(B12708*C12708,2)"
Garlic,3.07,21.8,"=ROUND(B12709*C12709,2)"
Apricots,3.71,37.6,"=ROUND(B12710*C12710,2)"
Tomatoes,3.16,31.9,"=ROUND(B12711*C12711,2)"
Grapes,2.63,13.4,"=ROUND(B12712*C12712,2)"
Butternut squash,1.28,18.6,"=ROUND(B12713*C12713,2)"
Watermelon,0.66,35.9,"=ROUND(B12714*C12714,2)"
Celery,1.19,8,"=ROUND(B12715*C12715,2)"
Tomatoes,3.16,29.3,"=ROUND(B12716*C12716,2)"
Grapes,2.63,37,"=ROUND(B12717*C12717,2)"
Grapefruit,0.76,24.3,"=ROUND(B12718*C12718,2)"
Bananas,0.86,35.2,"=ROUND(B12719*C12719,2)"
Spinach,4.12,18.4,"=ROUND(B12720*C12720,2)"
Papaya,1.34,1.2,"=ROUND(B12721*C12721,2)"
Lime,1.06,3.1,"=ROUND(B12722*C12722,2)"
Coconuts,1.18,29,"=ROUND(B12723*C12723,2)"
Red onion,0.78,12.7,"=ROUND(B12724*C12724,2)"
Garlic,3.07,26.9,"=ROUND(B12725*C12725,2)"
Lime,1.06,32.3,"=ROUND(B12726*C12726,2)"
Green cabbage,0.8,18.7,"=ROUND(B12727*C12727,2)"
Lemon,1.27,25.9,"=ROUND(B12728*C12728,2)"
Apricots,3.71,13.1,"=ROUND(B12729*C12729,2)"
Apples,1.88,23.8,"=ROUND(B12730*C12730,2)"
Watermelon,0.66,22.8,"=ROUND(B12731*C12731,2)"
Fava beans,2.69,20.1,"=ROUND(B12732*C12732,2)"
Bok choy,1.42,22.7,"=ROUND(B12733*C12733,2)"
Garlic,3.07,30.8,"=ROUND(B12734*C12734,2)"
Daikon,1.4,11.9,"=ROUND(B12735*C12735,2)"
Butternut squash,1.28,23.5,"=ROUND(B12736*C12736,2)"
Red onion,0.78,9.200000000000001,"=ROUND(B12737*C12737,2)"
Orange,1.09,26.9,"=ROUND(B12738*C12738,2)"
Strawberries,4.4,24.3,"=ROUND(B12739*C12739,2)"
Red onion,0.78,33.7,"=ROUND(B12740*C12740,2)"
Red onion,0.78,22.2,"=ROUND(B12741*C12741,2)"
Grapefruit,0.76,6.5,"=ROUND(B12742*C12742,2)"
Grapefruit,0.76,15,"=ROUND(B12743*C12743,2)"
Okra,2.26,36.9,"=ROUND(B12744*C12744,2)"
Orange,1.09,18.9,"=ROUND(B12745*C12745,2)"
Lemon,1.27,13.4,"=ROUND(B12746*C12746,2)"
Parsnips,2.27,4.9,"=ROUND(B12747*C12747,2)"
Okra,2.26,27.7,"=ROUND(B12748*C12748,2)"
Corn,1.07,11.1,"=ROUND(B12749*C12749,2)"
Ginger,5.13,18.9,"=ROUND(B12750*C12750,2)"
Celery,1.19,18.8,"=ROUND(B12751*C12751,2)"
Avocados,3.23,3,"=ROUND(B12752*C12752,2)"
Papaya,1.34,19.6,"=ROUND(B12753*C12753,2)"
Red onion,0.78,32,"=ROUND(B12754*C12754,2)"
Spinach,4.12,10.3,"=ROUND(B12755*C12755,2)"
Apples,1.88,5.600000000000001,"=ROUND(B12756*C12756,2)"
Butternut squash,1.28,35,"=ROUND(B12757*C12757,2)"
Cucumber,1.07,36.7,"=ROUND(B12758*C12758,2)"
Red onion,0.78,0.5,"=ROUND(B12759*C12759,2)"
Green cabbage,0.8,17.3,"=ROUND(B12760*C12760,2)"
Apricots,3.71,17.2,"=ROUND(B12761*C12761,2)"
Lettuce,1.88,10.6,"=ROUND(B12762*C12762,2)"
Coconuts,1.18,15.6,"=ROUND(B12763*C12763,2)"
Bananas,0.86,3.7,"=ROUND(B12764*C12764,2)"
Papaya,1.34,26.9,"=ROUND(B12765*C12765,2)"
Apricots,3.71,36.6,"=ROUND(B12766*C12766,2)"
Coconuts,1.18,23.5,"=ROUND(B12767*C12767,2)"
Lettuce,1.88,14.2,"=ROUND(B12768*C12768,2)"
Asparagus,2.49,6.7,"=ROUND(B12769*C12769,2)"
Carrots,1.26,33.9,"=ROUND(B12770*C12770,2)"
Papaya,1.34,15.8,"=ROUND(B12771*C12771,2)"
Green cabbage,0.8,13.8,"=ROUND(B12772*C12772,2)"
Lettuce,1.88,9.1,"=ROUND(B12773*C12773,2)"
Kale,5.02,39.7,"=ROUND(B12774*C12774,2)"
Lettuce,1.88,19.5,"=ROUND(B12775*C12775,2)"
Lemon,1.27,33,"=ROUND(B12776*C12776,2)"
Bok choy,1.42,28.1,"=ROUND(B12777*C12777,2)"
Strawberries,4.4,6.5,"=ROUND(B12778*C12778,2)"
Red onion,0.78,23,"=ROUND(B12779*C12779,2)"
Green beans,2.52,22.8,"=ROUND(B12780*C12780,2)"
Yellow peppers,2.87,16.2,"=ROUND(B12781*C12781,2)"
Lettuce,1.88,5.4,"=ROUND(B12782*C12782,2)"
Red onion,0.78,21.2,"=ROUND(B12783*C12783,2)"
Apricots,3.71,2.6,"=ROUND(B12784*C12784,2)"
Apples,1.88,36.1,"=ROUND(B12785*C12785,2)"
Watermelon,0.66,14.7,"=ROUND(B12786*C12786,2)"
Eggplant,2.32,19.1,"=ROUND(B12787*C12787,2)"
Daikon,1.4,8.5,"=ROUND(B12788*C12788,2)"
Papaya,1.34,10.3,"=ROUND(B12789*C12789,2)"
Bananas,0.86,38.90000000000001,"=ROUND(B12790*C12790,2)"
Grapefruit,0.76,14.5,"=ROUND(B12791*C12791,2)"
Papaya,1.34,5.4,"=ROUND(B12792*C12792,2)"
Spinach,4.12,25.5,"=ROUND(B12793*C12793,2)"
Tomatoes,3.16,35.5,"=ROUND(B12794*C12794,2)"
Okra,2.26,31,"=ROUND(B12795*C12795,2)"
Butternut squash,1.28,5.300000000000001,"=ROUND(B12796*C12796,2)"
Yellow peppers,2.87,24,"=ROUND(B12797*C12797,2)"
Cucumber,1.07,17.1,"=ROUND(B12798*C12798,2)"
Cucumber,1.07,21.4,"=ROUND(B12799*C12799,2)"
Brussels sprouts,1.65,15,"=ROUND(B12800*C12800,2)"
Cucumber,1.07,2.9,"=ROUND(B12801*C12801,2)"
Green peppers,1.89,1.9,"=ROUND(B12802*C12802,2)"
Potatoes,0.86,32.5,"=ROUND(B12803*C12803,2)"
Green cabbage,0.8,11.5,"=ROUND(B12804*C12804,2)"
Orange,1.09,4.600000000000001,"=ROUND(B12805*C12805,2)"
Butternut squash,1.28,6.4,"=ROUND(B12806*C12806,2)"
Green cabbage,0.8,16.3,"=ROUND(B12807*C12807,2)"
Apricots,3.71,27.1,"=ROUND(B12808*C12808,2)"
Butternut squash,1.28,30.7,"=ROUND(B12809*C12809,2)"
Apples,1.88,33.1,"=ROUND(B12810*C12810,2)"
Green peppers,1.89,22,"=ROUND(B12811*C12811,2)"
Cherries,9.5,11.5,"=ROUND(B12812*C12812,2)"
Kale,5.02,8.700000000000001,"=ROUND(B12813*C12813,2)"
Cherries,9.5,8.9,"=ROUND(B12814*C12814,2)"
Cucumber,1.07,24.8,"=ROUND(B12815*C12815,2)"
Butternut squash,1.28,25.1,"=ROUND(B12816*C12816,2)"
Okra,2.26,20.7,"=ROUND(B12817*C12817,2)"
Asparagus,2.49,24.7,"=ROUND(B12818*C12818,2)"
Apricots,3.71,14.6,"=ROUND(B12819*C12819,2)"
Carrots,1.26,28.9,"=ROUND(B12820*C12820,2)"
Brussels sprouts,1.65,15.6,"=ROUND(B12821*C12821,2)"
Ginger,5.13,20.2,"=ROUND(B12822*C12822,2)"
Bok choy,1.42,31.1,"=ROUND(B12823*C12823,2)"
Lime,1.06,39.7,"=ROUND(B12824*C12824,2)"
Eggplant,2.32,6.2,"=ROUND(B12825*C12825,2)"
Red onion,0.78,33.5,"=ROUND(B12826*C12826,2)"
Papaya,1.34,27.5,"=ROUND(B12827*C12827,2)"
Green beans,2.52,21.3,"=ROUND(B12828*C12828,2)"
Daikon,1.4,9.700000000000001,"=ROUND(B12829*C12829,2)"
Daikon,1.4,8.1,"=ROUND(B12830*C12830,2)"
Coconuts,1.18,25.6,"=ROUND(B12831*C12831,2)"
Fava beans,2.69,5.2,"=ROUND(B12832*C12832,2)"
Asparagus,2.49,18.8,"=ROUND(B12833*C12833,2)"
Apples,1.88,6.100000000000001,"=ROUND(B12834*C12834,2)"
Grapes,2.63,31.2,"=ROUND(B12835*C12835,2)"
Ginger,5.13,18.1,"=ROUND(B12836*C12836,2)"
Lime,1.06,13.2,"=ROUND(B12837*C12837,2)"
Ginger,5.13,31.8,"=ROUND(B12838*C12838,2)"
Ginger,5.13,35.4,"=ROUND(B12839*C12839,2)"
Yellow peppers,2.87,3.2,"=ROUND(B12840*C12840,2)"
Spinach,4.12,36.8,"=ROUND(B12841*C12841,2)"
Kale,5.02,8.8,"=ROUND(B12842*C12842,2)"
Fava beans,2.69,11.9,"=ROUND(B12843*C12843,2)"
Ginger,5.13,0.5,"=ROUND(B12844*C12844,2)"
Bok choy,1.42,28.2,"=ROUND(B12845*C12845,2)"
Grapefruit,0.76,20.9,"=ROUND(B12846*C12846,2)"
Apricots,3.71,24.1,"=ROUND(B12847*C12847,2)"
Brussels sprouts,1.65,11.2,"=ROUND(B12848*C12848,2)"
Strawberries,4.4,0.7000000000000001,"=ROUND(B12849*C12849,2)"
Corn,1.07,5.600000000000001,"=ROUND(B12850*C12850,2)"
Brussels sprouts,1.65,11.1,"=ROUND(B12851*C12851,2)"
Brussels sprouts,1.65,10.8,"=ROUND(B12852*C12852,2)"
Watermelon,0.66,7,"=ROUND(B12853*C12853,2)"
Ginger,5.13,2.9,"=ROUND(B12854*C12854,2)"
Yellow peppers,2.87,3.2,"=ROUND(B12855*C12855,2)"
Orange,1.09,34.2,"=ROUND(B12856*C12856,2)"
Fava beans,2.69,20.4,"=ROUND(B12857*C12857,2)"
Green cabbage,0.8,9.8,"=ROUND(B12858*C12858,2)"
Strawberries,4.4,38.5,"=ROUND(B12859*C12859,2)"
Avocados,3.23,35.2,"=ROUND(B12860*C12860,2)"
Red onion,0.78,20.5,"=ROUND(B12861*C12861,2)"
Brussels sprouts,1.65,26,"=ROUND(B12862*C12862,2)"
Cherries,9.5,5.9,"=ROUND(B12863*C12863,2)"
Lime,1.06,16.6,"=ROUND(B12864*C12864,2)"
Tomatoes,3.16,18.7,"=ROUND(B12865*C12865,2)"
Bok choy,1.42,18.7,"=ROUND(B12866*C12866,2)"
Spinach,4.12,31,"=ROUND(B12867*C12867,2)"
Brussels sprouts,1.65,27.9,"=ROUND(B12868*C12868,2)"
Ginger,5.13,1.7,"=ROUND(B12869*C12869,2)"
Celery,1.19,20.3,"=ROUND(B12870*C12870,2)"
Butternut squash,1.28,37.1,"=ROUND(B12871*C12871,2)"
Eggplant,2.32,0.5,"=ROUND(B12872*C12872,2)"
Spinach,4.12,37.7,"=ROUND(B12873*C12873,2)"
Beets,1.51,27.7,"=ROUND(B12874*C12874,2)"
Spinach,4.12,27.2,"=ROUND(B12875*C12875,2)"
Ginger,5.13,18.1,"=ROUND(B12876*C12876,2)"
Potatoes,0.86,28.9,"=ROUND(B12877*C12877,2)"
Green peppers,1.89,16.5,"=ROUND(B12878*C12878,2)"
Daikon,1.4,29.6,"=ROUND(B12879*C12879,2)"
Lime,1.06,38.3,"=ROUND(B12880*C12880,2)"
Lemon,1.27,16.4,"=ROUND(B12881*C12881,2)"
Green cabbage,0.8,34,"=ROUND(B12882*C12882,2)"
Apples,1.88,14.1,"=ROUND(B12883*C12883,2)"
Apples,1.88,4.2,"=ROUND(B12884*C12884,2)"
Orange,1.09,12.3,"=ROUND(B12885*C12885,2)"
Red onion,0.78,8.9,"=ROUND(B12886*C12886,2)"
Papaya,1.34,34.6,"=ROUND(B12887*C12887,2)"
Beets,1.51,5.4,"=ROUND(B12888*C12888,2)"
Coconuts,1.18,25.6,"=ROUND(B12889*C12889,2)"
Apricots,3.71,2.2,"=ROUND(B12890*C12890,2)"
Lemon,1.27,19.4,"=ROUND(B12891*C12891,2)"
Papaya,1.34,12.8,"=ROUND(B12892*C12892,2)"
Ginger,5.13,16.2,"=ROUND(B12893*C12893,2)"
Bananas,0.86,3.7,"=ROUND(B12894*C12894,2)"
Corn,1.07,12.7,"=ROUND(B12895*C12895,2)"
